Strategy,Document,Query,Hit,BLEU-1,ROUGE-L
S1_Baseline,C.A.8-K_2020,What was the percentage of the...,1,0.12222222222222225,0.16161616161616163
S1_Baseline,C.A.8-K_2020,What was the outcome of Civil ...,1,0.14285714285714285,0.14545454545454545
S3_Proposed_Hybrid,C.A.8-K_2020,What was the percentage of the...,1,0.07647058823529412,0.09836065573770492
S3_Proposed_Hybrid,C.A.8-K_2020,What was the outcome of Civil ...,1,0.1619718309859155,0.2716049382716049
S1_Baseline,C.A.3-L_2016,What is the final order of the...,0,0.12631578947368421,0.22222222222222224
S1_Baseline,C.A.3-L_2016,What is the legal requirement ...,1,0.14772727272727273,0.15384615384615385
S3_Proposed_Hybrid,C.A.3-L_2016,What is the final order of the...,1,0.09306272250443651,0.11764705882352941
S3_Proposed_Hybrid,C.A.3-L_2016,What is the legal requirement ...,1,0.12568306010928962,0.18947368421052632
S1_Baseline,C.A.13-Q_2020,What was the compensation per ...,0,0.10588235294117647,0.16091954022988506
S1_Baseline,C.A.13-Q_2020,Why did the Supreme Court refu...,1,0.07446808510638296,0.1176470588235294
S3_Proposed_Hybrid,C.A.13-Q_2020,What was the compensation per ...,0,0.03488372093023255,0.0787878787878788
S3_Proposed_Hybrid,C.A.13-Q_2020,Why did the Supreme Court refu...,1,0.04568527918781725,0.07106598984771573
