Document,Strategy,Query,Hit,Confidence
C.A.8-K_2020,1_Baseline,What percentage of t...,1,0.7261873157018721
C.A.8-K_2020,2_Proposed(S4),What percentage of t...,1,0.7175558918061611
C.A.8-K_2020,1_Baseline,What was the outcome...,0,0.6530753008899022
C.A.8-K_2020,2_Proposed(S4),What was the outcome...,1,0.6608570982218949
C.A.11_2022,1_Baseline,Why was the delegati...,1,0.7183124882302752
C.A.11_2022,2_Proposed(S4),Why was the delegati...,1,0.6943759416048066
C.A.11_2022,1_Baseline,What power was at th...,0,0.6411825352056473
C.A.11_2022,2_Proposed(S4),What power was at th...,1,0.638022504034562
C.A.3-L_2016,1_Baseline,What is the final or...,1,0.5675914671890527
C.A.3-L_2016,2_Proposed(S4),What is the final or...,1,0.6294345263030225
C.A.3-L_2016,1_Baseline,What is the requirem...,0,0.7441355348970842
C.A.3-L_2016,2_Proposed(S4),What is the requirem...,1,0.7200478875100529
C.A.16_2022,1_Baseline,What business is M/s...,0,0.6063838524904746
C.A.16_2022,2_Proposed(S4),What business is M/s...,1,0.6428302602383358
C.A.16_2022,1_Baseline,What is the threshol...,1,0.7266622705237986
C.A.16_2022,2_Proposed(S4),What is the threshol...,0,0.7489873397616449
